Age,Gender,UndergraduateMajor,Undergraduate GPA,Years of Work Experience,CurrentJobTitle,Annual Salary (Before MBA),HasManagementExperience,GRE/GMAT Score,Undergrad University Ranking,Entrepreneurial Interest,Networking Importance,MBAFundingSource,DesiredPostMBArole,Expected Post-MBA Salary,LocationPreference,ReasonforMBA,OnlineorOnCampus,DecidedToPursueMBA
27,0,0,3.18,8,3,90624,0,688,185,7.9,7.6,0,1,156165,0,3,1,1
24,0,0,3.03,4,0,53576,1,791,405,3.8,4.1,0,2,165612,0,0,0,0
33,1,1,3.66,9,5,79796,0,430,107,6.7,5.5,1,4,122248,1,1,0,0
31,0,2,2.46,1,1,105956,0,356,257,1.0,5.3,0,4,123797,0,3,1,0
28,1,1,2.75,9,3,96132,0,472,338,9.5,4.9,0,4,197509,1,1,0,1
33,0,1,3.58,3,1,101925,0,409,280,3.4,7.1,1,5,99591,0,2,1,0
25,1,0,3.06,5,4,81962,0,369,158,9.2,8.3,2,0,119223,0,2,0,0
27,0,2,2.8,6,5,100072,1,588,190,2.9,9.6,0,1,199447,0,3,1,1
30,1,0,2.06,6,3,118689,1,521,455,9.1,4.7,1,0,76037,1,0,1,1
23,1,0,3.51,3,3,112387,0,671,411,6.0,7.3,1,2,92294,0,3,0,1
27,0,0,3.94,9,0,39156,0,652,436,2.6,6.1,3,0,119126,1,2,1,0
31,2,0,3.24,9,1,72597,0,749,283,3.9,2.6,0,1,69698,0,3,1,1
31,0,4,3.71,4,3,81938,0,482,323,8.5,3.7,3,4,159371,1,3,1,0
28,1,3,3.03,3,1,114728,0,440,117,9.6,8.6,3,4,97889,1,3,0,1
25,1,2,2.46,9,4,84941,0,676,208,8.9,8.3,3,5,190224,1,1,0,1
24,0,4,2.03,5,0,62979,0,748,4,8.8,8.7,2,5,173363,1,2,1,1
28,0,3,3.31,6,4,110931,0,466,429,1.0,1.4,3,5,193921,1,2,0,1
28,0,3,2.99,1,0,90655,1,601,185,5.0,9.9,0,1,180546,1,0,1,0
23,0,3,3.56,9,0,53915,1,538,384,8.5,6.0,1,5,82471,1,1,0,1
26,0,4,3.39,2,1,87774,0,298,385,1.3,5.6,1,5,147362,0,0,0,1
25,0,2,3.98,7,0,33258,1,428,225,7.2,7.6,1,0,72714,1,0,0,1
22,0,1,3.02,6,4,112179,0,785,44,5.5,2.2,1,0,166538,1,1,0,1
28,1,3,2.85,0,4,64522,0,526,109,8.1,3.1,1,0,137619,0,1,0,0
32,0,1,2.57,3,4,73357,0,659,346,3.3,9.5,1,5,65370,1,0,1,0
34,0,1,2.95,4,1,92146,1,396,359,8.9,2.9,3,5,104662,0,1,0,0
26,1,0,3.75,2,1,95581,0,710,195,3.7,4.0,1,2,87905,1,3,0,0
22,0,1,2.08,3,5,54538,0,313,4,9.6,3.2,0,5,122034,0,3,1,0
32,0,0,3.96,9,3,64723,0,614,417,6.8,5.4,3,5,85873,0,1,0,1
25,0,2,3.99,9,5,32274,0,729,434,2.8,8.2,3,5,144660,1,3,1,0
21,1,2,3.2,9,5,37735,0,666,133,8.0,8.5,2,0,96946,1,0,1,0
32,1,0,2.66,6,0,31739,0,793,381,5.8,3.9,3,5,154959,1,1,0,0
30,0,2,2.45,7,0,117586,0,750,221,4.7,1.7,2,0,119391,0,1,0,1
26,1,3,2.55,8,5,110849,1,693,308,5.2,2.0,2,0,177546,1,2,1,0
33,1,2,2.1,1,3,43549,0,636,11,4.6,8.3,1,1,140714,0,1,0,1
32,1,0,2.95,3,5,108948,0,256,131,7.4,4.9,2,5,163083,1,2,1,1
29,1,3,2.11,0,1,61510,0,438,274,3.3,8.4,1,0,114106,1,2,1,1
21,1,1,3.44,2,4,112253,1,503,286,5.6,1.1,3,0,196140,1,3,1,1
31,0,1,2.74,7,5,97066,0,769,465,7.8,1.3,0,0,120725,0,1,0,1
